31244  2016-09-14 11:39:00,498 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
31244  2016-09-14 11:39:00,498 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
31244  2016-09-14 11:39:00,498 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
31506  2016-09-14 11:39:00,760 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
31506  2016-09-14 11:39:00,760 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
31507  2016-09-14 11:39:00,761 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
31507  2016-09-14 11:39:00,761 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
31507  2016-09-14 11:39:00,761 DEBUG            ru.itis2016.ServletCalculator  - Cookies added multiplication
33228  2016-09-14 11:39:02,482 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
33228  2016-09-14 11:39:02,482 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
33228  2016-09-14 11:39:02,482 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
33228  2016-09-14 11:39:02,482 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
33228  2016-09-14 11:39:02,482 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
33972  2016-09-14 11:39:03,226 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
33973  2016-09-14 11:39:03,227 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
33973  2016-09-14 11:39:03,227 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
33973  2016-09-14 11:39:03,227 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
33973  2016-09-14 11:39:03,227 DEBUG            ru.itis2016.ServletCalculator  - Cookies added subtraction
0      2016-09-14 11:41:50,802 INFO             ru.itis2016.ServletCalculator  - Text that was added to session: null
2      2016-09-14 11:41:50,804 INFO             ru.itis2016.ServletCalculator  - mathAction that was added to session: null
3888   2016-09-14 11:41:54,690 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
3888   2016-09-14 11:41:54,690 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
3888   2016-09-14 11:41:54,690 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
3888   2016-09-14 11:41:54,690 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
3888   2016-09-14 11:41:54,690 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
13733  2016-09-14 11:42:04,535 INFO             ru.itis2016.ServletCalculator  - Text that was added to session: null
13737  2016-09-14 11:42:04,539 INFO             ru.itis2016.ServletCalculator  - mathAction that was added to session: null
17883  2016-09-14 11:42:08,685 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
17883  2016-09-14 11:42:08,685 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
17883  2016-09-14 11:42:08,685 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
17883  2016-09-14 11:42:08,685 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
17884  2016-09-14 11:42:08,686 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
17884  2016-09-14 11:42:08,686 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
23616  2016-09-14 11:42:14,418 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 6
23616  2016-09-14 11:42:14,418 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
23616  2016-09-14 11:42:14,418 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 6
23617  2016-09-14 11:42:14,419 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
23618  2016-09-14 11:42:14,420 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 6
23618  2016-09-14 11:42:14,420 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
26715  2016-09-14 11:42:17,517 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
26715  2016-09-14 11:42:17,517 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
26715  2016-09-14 11:42:17,517 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
26715  2016-09-14 11:42:17,517 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
26715  2016-09-14 11:42:17,517 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
26715  2016-09-14 11:42:17,517 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 
274422 2016-09-14 11:46:25,224 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
274422 2016-09-14 11:46:25,224 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
274423 2016-09-14 11:46:25,225 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
274429 2016-09-14 11:46:25,231 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
274429 2016-09-14 11:46:25,231 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
280338 2016-09-14 11:46:31,140 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 6
280338 2016-09-14 11:46:31,140 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
280338 2016-09-14 11:46:31,140 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 6
280339 2016-09-14 11:46:31,141 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
280339 2016-09-14 11:46:31,141 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 6
280339 2016-09-14 11:46:31,141 DEBUG            ru.itis2016.ServletCalculator  - Cookies added equally
310257 2016-09-14 11:47:01,059 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
310257 2016-09-14 11:47:01,059 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
310257 2016-09-14 11:47:01,059 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
310257 2016-09-14 11:47:01,059 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
310257 2016-09-14 11:47:01,059 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
310257 2016-09-14 11:47:01,059 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
313222 2016-09-14 11:47:04,024 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
313223 2016-09-14 11:47:04,025 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
313223 2016-09-14 11:47:04,025 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
313223 2016-09-14 11:47:04,025 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
313223 2016-09-14 11:47:04,025 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
313223 2016-09-14 11:47:04,025 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
0      2016-09-14 12:39:04,506 INFO             ru.itis2016.ServletCalculator  - Text that was added to session: null
3      2016-09-14 12:39:04,509 INFO             ru.itis2016.ServletCalculator  - mathAction that was added to session: null
5536   2016-09-14 12:39:10,042 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
5537   2016-09-14 12:39:10,043 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
5537   2016-09-14 12:39:10,043 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
5537   2016-09-14 12:39:10,043 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
5537   2016-09-14 12:39:10,043 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
5537   2016-09-14 12:39:10,043 DEBUG            ru.itis2016.ServletCalculator  - Cookies added addition
0      2016-09-14 12:40:25,595 INFO             ru.itis2016.ServletCalculator  - Text that was added to session: null
2      2016-09-14 12:40:25,597 INFO             ru.itis2016.ServletCalculator  - mathAction that was added to session: null
2682   2016-09-14 12:40:28,277 DEBUG            ru.itis2016.ServletCalculator  - Cookies added 5
